file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,4b8e1fd4,mkataki,2025-01-25,15:05:43,-08:00,2025-01-25T15:05:43-08:00,0,6
style.css,2,css,4b8e1fd4,mkataki,2025-01-25,15:05:43,-08:00,2025-01-25T15:05:43-08:00,0,22
style.css,3,css,4b8e1fd4,mkataki,2025-01-25,15:05:43,-08:00,2025-01-25T15:05:43-08:00,0,62
style.css,4,css,47c0f307,mkataki,2025-01-25,17:54:32,-08:00,2025-01-25T17:54:32-08:00,0,24
style.css,5,css,47c0f307,mkataki,2025-01-25,17:54:32,-08:00,2025-01-25T17:54:32-08:00,0,25
style.css,6,css,47c0f307,mkataki,2025-01-25,17:54:32,-08:00,2025-01-25T17:54:32-08:00,0,25
style.css,7,css,be748891,mkataki,2025-01-25,20:14:33,-08:00,2025-01-25T20:14:33-08:00,0,20
style.css,8,css,4b8e1fd4,mkataki,2025-01-25,15:05:43,-08:00,2025-01-25T15:05:43-08:00,0,0
style.css,9,css,4b8e1fd4,mkataki,2025-01-25,15:05:43,-08:00,2025-01-25T15:05:43-08:00,0,0
style.css,10,css,4b8e1fd4,mkataki,2025-01-25,15:05:43,-08:00,2025-01-25T15:05:43-08:00,0,5
style.css,11,css,4b8e1fd4,mkataki,2025-01-25,15:05:43,-08:00,2025-01-25T15:05:43-08:00,0,33
style.css,12,css,4b8e1fd4,mkataki,2025-01-25,15:05:43,-08:00,2025-01-25T15:05:43-08:00,0,0
style.css,13,css,1bfd6062,mkataki,2025-01-10,19:57:50,+05:30,2025-01-10T19:57:50+05:30,0,5
style.css,14,css,1bfd6062,mkataki,2025-01-10,19:57:50,+05:30,2025-01-10T19:57:50+05:30,0,44
style.css,15,css,1bfd6062,mkataki,2025-01-10,19:57:50,+05:30,2025-01-10T19:57:50+05:30,0,43
style.css,16,css,1bfd6062,mkataki,2025-01-10,19:57:50,+05:30,2025-01-10T19:57:50+05:30,0,1
style.css,17,css,1bfd6062,mkataki,2025-01-10,19:57:50,+05:30,2025-01-10T19:57:50+05:30,0,24
style.css,18,css,957bf425,mkataki,2025-01-25,12:37:14,-08:00,2025-01-25T12:37:14-08:00,0,0
style.css,19,css,957bf425,mkataki,2025-01-25,12:37:14,-08:00,2025-01-25T12:37:14-08:00,0,16
style.css,20,css,957bf425,mkataki,2025-01-25,12:37:14,-08:00,2025-01-25T12:37:14-08:00,0,0
style.css,21,css,957bf425,mkataki,2025-01-25,12:37:14,-08:00,2025-01-25T12:37:14-08:00,0,19
style.css,22,css,957bf425,mkataki,2025-01-25,12:37:14,-08:00,2025-01-25T12:37:14-08:00,0,0
style.css,23,css,957bf425,mkataki,2025-01-25,12:37:14,-08:00,2025-01-25T12:37:14-08:00,0,13
style.css,24,css,47c0f307,mkataki,2025-01-25,17:54:32,-08:00,2025-01-25T17:54:32-08:00,0,0
style.css,25,css,47c0f307,mkataki,2025-01-25,17:54:32,-08:00,2025-01-25T17:54:32-08:00,0,24
style.css,26,css,47c0f307,mkataki,2025-01-25,17:54:32,-08:00,2025-01-25T17:54:32-08:00,0,17
style.css,27,css,4b8e1fd4,mkataki,2025-01-25,15:05:43,-08:00,2025-01-25T15:05:43-08:00,0,0
style.css,28,css,4b8e1fd4,mkataki,2025-01-25,15:05:43,-08:00,2025-01-25T15:05:43-08:00,0,0
style.css,29,css,4b8e1fd4,mkataki,2025-01-25,15:05:43,-08:00,2025-01-25T15:05:43-08:00,0,0
style.css,30,css,4b8e1fd4,mkataki,2025-01-25,15:05:43,-08:00,2025-01-25T15:05:43-08:00,0,5
style.css,31,css,4b8e1fd4,mkataki,2025-01-25,15:05:43,-08:00,2025-01-25T15:05:43-08:00,0,13
style.css,32,css,4b8e1fd4,mkataki,2025-01-25,15:05:43,-08:00,2025-01-25T15:05:43-08:00,0,31
style.css,33,css,4b8e1fd4,mkataki,2025-01-25,15:05:43,-08:00,2025-01-25T15:05:43-08:00,0,9
style.css,34,css,4b8e1fd4,mkataki,2025-01-25,15:05:43,-08:00,2025-01-25T15:05:43-08:00,0,0
style.css,35,css,4b8e1fd4,mkataki,2025-01-25,15:05:43,-08:00,2025-01-25T15:05:43-08:00,0,0
style.css,36,css,4b8e1fd4,mkataki,2025-01-25,15:05:43,-08:00,2025-01-25T15:05:43-08:00,0,6
style.css,37,css,4b8e1fd4,mkataki,2025-01-25,15:05:43,-08:00,2025-01-25T15:05:43-08:00,0,13
